

Windows-1252;;kunta_1_20220101#hyvinvointialue_1_20220101;;
sourcecode;sourcename;targetcode;targetname
"'484'";"Merikarvia";"'06'";"Satakunnan hyvinvointialue"
"'489'";"Miehikkälä";"'10'";"Kymenlaakson hyvinvointialue"
"'491'";"Mikkeli";"'12'";"Etelä-Savon hyvinvointialue"
"'494'";"Muhos";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'495'";"Multia";"'15'";"Keski-Suomen hyvinvointialue"
"'498'";"Muonio";"'21'";"Lapin hyvinvointialue"
"'499'";"Mustasaari";"'17'";"Pohjanmaan hyvinvointialue"
"'500'";"Muurame";"'15'";"Keski-Suomen hyvinvointialue"
"'503'";"Mynämäki";"'05'";"Varsinais-Suomen hyvinvointialue"
"'504'";"Myrskylä";"'01'";"Itä-Uudenmaan hyvinvointialue"
"'505'";"Mäntsälä";"'02'";"Keski-Uudenmaan hyvinvointialue"
"'508'";"Mänttä-Vilppula";"'08'";"Pirkanmaan hyvinvointialue"
"'507'";"Mäntyharju";"'12'";"Etelä-Savon hyvinvointialue"
"'529'";"Naantali";"'05'";"Varsinais-Suomen hyvinvointialue"
"'531'";"Nakkila";"'06'";"Satakunnan hyvinvointialue"
"'535'";"Nivala";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'536'";"Nokia";"'08'";"Pirkanmaan hyvinvointialue"
"'538'";"Nousiainen";"'05'";"Varsinais-Suomen hyvinvointialue"
"'541'";"Nurmes";"'14'";"Pohjois-Karjalan hyvinvointialue"
"'543'";"Nurmijärvi";"'02'";"Keski-Uudenmaan hyvinvointialue"
"'545'";"Närpiö";"'17'";"Pohjanmaan hyvinvointialue"
"'560'";"Orimattila";"'09'";"Päijät-Hämeen hyvinvointialue"
"'561'";"Oripää";"'05'";"Varsinais-Suomen hyvinvointialue"
"'562'";"Orivesi";"'08'";"Pirkanmaan hyvinvointialue"
"'563'";"Oulainen";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'564'";"Oulu";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'309'";"Outokumpu";"'14'";"Pohjois-Karjalan hyvinvointialue"
"'576'";"Padasjoki";"'09'";"Päijät-Hämeen hyvinvointialue"
"'577'";"Paimio";"'05'";"Varsinais-Suomen hyvinvointialue"
"'578'";"Paltamo";"'20'";"Kainuun hyvinvointialue"
"'445'";"Parainen";"'05'";"Varsinais-Suomen hyvinvointialue"
"'580'";"Parikkala";"'11'";"Etelä-Karjalan hyvinvointialue"
"'581'";"Parkano";"'08'";"Pirkanmaan hyvinvointialue"
"'599'";"Pedersören kunta";"'17'";"Pohjanmaan hyvinvointialue"
"'583'";"Pelkosenniemi";"'21'";"Lapin hyvinvointialue"
"'854'";"Pello";"'21'";"Lapin hyvinvointialue"
"'584'";"Perho";"'18'";"Keski-Pohjanmaan hyvinvointialue"
"'588'";"Pertunmaa";"'12'";"Etelä-Savon hyvinvointialue"
"'592'";"Petäjävesi";"'15'";"Keski-Suomen hyvinvointialue"
"'593'";"Pieksämäki";"'12'";"Etelä-Savon hyvinvointialue"
"'595'";"Pielavesi";"'13'";"Pohjois-Savon hyvinvointialue"
"'598'";"Pietarsaari";"'17'";"Pohjanmaan hyvinvointialue"
"'601'";"Pihtipudas";"'15'";"Keski-Suomen hyvinvointialue"
"'604'";"Pirkkala";"'08'";"Pirkanmaan hyvinvointialue"
"'607'";"Polvijärvi";"'14'";"Pohjois-Karjalan hyvinvointialue"
"'608'";"Pomarkku";"'06'";"Satakunnan hyvinvointialue"
"'609'";"Pori";"'06'";"Satakunnan hyvinvointialue"
"'611'";"Pornainen";"'02'";"Keski-Uudenmaan hyvinvointialue"
"'638'";"Porvoo";"'01'";"Itä-Uudenmaan hyvinvointialue"
"'614'";"Posio";"'21'";"Lapin hyvinvointialue"
"'615'";"Pudasjärvi";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'616'";"Pukkila";"'01'";"Itä-Uudenmaan hyvinvointialue"
"'619'";"Punkalaidun";"'08'";"Pirkanmaan hyvinvointialue"
"'620'";"Puolanka";"'20'";"Kainuun hyvinvointialue"
"'623'";"Puumala";"'12'";"Etelä-Savon hyvinvointialue"
"'624'";"Pyhtää";"'10'";"Kymenlaakson hyvinvointialue"
"'625'";"Pyhäjoki";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'626'";"Pyhäjärvi";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'630'";"Pyhäntä";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'631'";"Pyhäranta";"'05'";"Varsinais-Suomen hyvinvointialue"
"'635'";"Pälkäne";"'08'";"Pirkanmaan hyvinvointialue"
"'636'";"Pöytyä";"'05'";"Varsinais-Suomen hyvinvointialue"
"'678'";"Raahe";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'710'";"Raasepori";"'03'";"Länsi-Uudenmaan hyvinvointialue"
"'680'";"Raisio";"'05'";"Varsinais-Suomen hyvinvointialue"
"'681'";"Rantasalmi";"'12'";"Etelä-Savon hyvinvointialue"
"'683'";"Ranua";"'21'";"Lapin hyvinvointialue"
