

Windows-1252;;kunta_1_20220101#sairaanhoitop_1_20220101;;
sourcecode;sourcename;targetcode;targetname
"'766'";"Sottunga";"'00'";"Ahvenanmaa"
"'768'";"Sulkava";"'11'";"Itä-Savon SHP"
"'771'";"Sund";"'00'";"Ahvenanmaa"
"'777'";"Suomussalmi";"'19'";"Kainuun SHP"
"'778'";"Suonenjoki";"'13'";"Pohjois-Savon SHP"
"'781'";"Sysmä";"'07'";"Päijät-Hämeen SHP"
"'783'";"Säkylä";"'04'";"Satakunnan SHP"
"'831'";"Taipalsaari";"'09'";"Etelä-Karjalan SHP"
"'832'";"Taivalkoski";"'18'";"Pohjois-Pohjanmaan SHP"
"'833'";"Taivassalo";"'03'";"Varsinais-Suomen SHP"
"'834'";"Tammela";"'05'";"Kanta-Hämeen SHP"
"'837'";"Tampere";"'06'";"Pirkanmaan SHP"
"'844'";"Tervo";"'13'";"Pohjois-Savon SHP"
"'845'";"Tervola";"'20'";"Länsi-Pohjan SHP"
"'846'";"Teuva";"'15'";"Etelä-Pohjanmaan SHP"
"'848'";"Tohmajärvi";"'12'";"Pohjois-Karjalan SHP"
"'849'";"Toholampi";"'17'";"Keski-Pohjanmaan SHP"
"'850'";"Toivakka";"'14'";"Keski-Suomen SHP"
"'851'";"Tornio";"'20'";"Länsi-Pohjan SHP"
"'853'";"Turku";"'03'";"Varsinais-Suomen SHP"
"'857'";"Tuusniemi";"'13'";"Pohjois-Savon SHP"
"'858'";"Tuusula";"'25'";"Helsingin ja Uudenmaan SHP"
"'859'";"Tyrnävä";"'18'";"Pohjois-Pohjanmaan SHP"
"'886'";"Ulvila";"'04'";"Satakunnan SHP"
"'887'";"Urjala";"'06'";"Pirkanmaan SHP"
"'889'";"Utajärvi";"'18'";"Pohjois-Pohjanmaan SHP"
"'890'";"Utsjoki";"'21'";"Lapin SHP"
"'892'";"Uurainen";"'14'";"Keski-Suomen SHP"
"'893'";"Uusikaarlepyy";"'16'";"Vaasan SHP"
"'895'";"Uusikaupunki";"'03'";"Varsinais-Suomen SHP"
"'785'";"Vaala";"'18'";"Pohjois-Pohjanmaan SHP"
"'905'";"Vaasa";"'16'";"Vaasan SHP"
"'908'";"Valkeakoski";"'06'";"Pirkanmaan SHP"
"'092'";"Vantaa";"'25'";"Helsingin ja Uudenmaan SHP"
"'915'";"Varkaus";"'13'";"Pohjois-Savon SHP"
"'918'";"Vehmaa";"'03'";"Varsinais-Suomen SHP"
"'921'";"Vesanto";"'13'";"Pohjois-Savon SHP"
"'922'";"Vesilahti";"'06'";"Pirkanmaan SHP"
"'924'";"Veteli";"'17'";"Keski-Pohjanmaan SHP"
"'925'";"Vieremä";"'13'";"Pohjois-Savon SHP"
"'927'";"Vihti";"'25'";"Helsingin ja Uudenmaan SHP"
"'931'";"Viitasaari";"'14'";"Keski-Suomen SHP"
"'934'";"Vimpeli";"'15'";"Etelä-Pohjanmaan SHP"
"'935'";"Virolahti";"'08'";"Kymenlaakson SHP"
"'936'";"Virrat";"'06'";"Pirkanmaan SHP"
"'941'";"Vårdö";"'00'";"Ahvenanmaa"
"'946'";"Vöyri";"'16'";"Vaasan SHP"
"'976'";"Ylitornio";"'20'";"Länsi-Pohjan SHP"
"'977'";"Ylivieska";"'18'";"Pohjois-Pohjanmaan SHP"
"'980'";"Ylöjärvi";"'06'";"Pirkanmaan SHP"
"'981'";"Ypäjä";"'05'";"Kanta-Hämeen SHP"
"'989'";"Ähtäri";"'15'";"Etelä-Pohjanmaan SHP"
"'992'";"Äänekoski";"'14'";"Keski-Suomen SHP"

